HDI_rank,Country,HDI,life_exp,school_exp,GNI,GNI_min_HDI
1,SWITZERLAND,962,84.0,16.5,66933,5
2,NORWAY,961,83.2,18.2,64660,6
3,ICELAND,959,82.7,19.2,55782,11
4,"HONG KONG, CHINA ",952,85.5,17.3,62607,6
5,AUSTRALIA,951,84.5,21.1,49238,18
6,DENMARK,948,81.4,18.7,60365,6
7,SWEDEN,947,83.0,19.4,54489,9
8,IRELAND,945,82.0,18.9,76169,-3
9,GERMANY,942,80.6,17.0,54534,6
10,NETHERLANDS,941,81.7,18.7,55979,3
11,FINLAND,940,82.0,19.1,49452,11
12,SINGAPORE,939,82.8,16.5,90919,-10
13,BELGIUM,937,81.9,19.6,52293,7
13,NEW ZEALAND,937,82.5,20.3,44057,16
15,CANADA,936,82.7,16.4,46808,9
16,LIECHTENSTEIN,935,83.3,15.2,14683,-15
17,LUXEMBOURG,930,82.6,14.4,84649,-13
18,UNITED KINGDOM,929,80.7,17.3,45225,9
19,JAPAN,925,84.8,15.2,42274,12
19,KOREA ,925,83.7,16.5,44501,9
21,UNITED STATES,921,77.2,16.3,64765,-14
22,ISRAEL,919,82.3,16.1,41524,10
23,MALTA,918,83.8,16.8,38884,12
23,SLOVENIA,918,80.7,17.7,39746,10
25,AUSTRIA,916,81.6,16.0,53619,-8
26,UNITED ARAB EMIRATES,911,78.7,15.7,62574,-15
27,SPAIN,905,83.0,17.9,38354,10
28,FRANCE,903,82.5,15.8,45937,-2
29,CYPRUS,896,81.2,15.6,38188,9
30,ITALY,895,82.9,16.2,42840,0
31,ESTONIA,890,77.1,15.9,38048,8
32,CZECHIA,889,77.7,16.2,38745,4
33,GREECE,887,80.1,20.0,29002,17
34,POLAND,876,76.5,16.0,33034,8
35,BAHRAIN,875,78.8,16.3,39497,-1
35,LITHUANIA,875,73.7,16.3,37931,5
35,SAUDI ARABIA,875,76.9,16.1,46112,-10
38,PORTUGAL,866,81.0,16.9,33155,3
39,LATVIA,863,73.6,16.2,32803,4
40,ANDORRA,858,80.4,13.3,51167,-19
40,CROATIA,858,77.6,15.1,30132,8
42,CHILE,855,78.9,16.7,24563,14
42,QATAR,855,79.3,12.6,87134,-39
44,SAN MARINO,853,80.9,12.3,52654,-25
45,SLOVAKIA,848,74.9,14.5,30690,1
46,HUNGARY,846,74.5,15.0,32789,-2
47,ARGENTINA,842,75.4,17.9,20925,17
48,TURKIYE,838,76.0,18.3,31033,-3
49,MONTENEGRO,832,76.3,15.1,20839,16
50,KUWAIT,831,78.7,15.3,52920,-32
51,BRUNEI DARUSSALAM,829,74.6,14.0,64490,-42
52,RUSSIAN FEDERATION,822,69.4,15.8,27166,-1
53,ROMANIA,821,74.2,14.2,30027,-4
54,OMAN,816,72.5,14.6,27054,-2
55,BAHAMAS,812,71.6,12.9,30486,-8
56,KAZAKHSTAN,811,69.4,15.8,23943,1
57,TRINIDAD AND TOBAGO,810,73.0,14.5,23392,1
58,COSTA RICA,809,77.0,16.5,19974,8
58,URUGUAY,809,75.4,16.8,21269,5
60,BELARUS,808,72.4,15.2,18849,8
61,PANAMA,805,76.2,13.1,26957,-8
62,MALAYSIA,803,74.9,13.3,26658,-8
63,GEORGIA,802,71.7,15.6,14664,17
63,MAURITIUS,802,73.6,15.2,22025,-1
63,SERBIA,802,74.2,14.4,19123,4
66,THAILAND,800,78.7,15.9,17030,6
67,ALBANIA,796,76.5,14.4,14131,17
68,BULGARIA,795,71.8,13.9,23079,-8
68,GRENADA,795,74.9,18.7,13484,18
70,BARBADOS,790,77.6,15.7,12306,26
71,ANTIGUA AND BARBUDA,788,78.5,14.2,16792,2
72,SEYCHELLES,785,71.3,13.9,25831,-17
73,SRI LANKA,782,76.4,14.1,12578,21
74,BOSNIA AND HERZEGOVINA,780,75.3,13.8,15242,4
75,SAINT KITTS AND NEVIS,777,71.7,15.4,23358,-16
76,IRAN ,774,73.9,14.6,13001,15
77,UKRAINE,773,71.6,15.0,13256,11
78,NORTH MACEDONIA,770,73.8,13.6,15918,-3
79,CHINA,768,78.2,14.2,17504,-8
80,DOMINICAN REPUBLIC,767,72.6,14.5,17990,-11
